Platform,Day of the Week,Date,Post type,Impressions,Likes,Shares,Comments,Hashtag,Hastages category,Number of Hastage,
Linkedin,7,25 January 2026,image,993,106,0,138,"#NationalVotersDay #NationalTourismDay #Graphura #CareerJourney #ProfessionalGrowth #ExploreLearnContribute #FutureLeaders #InternshipOpportunity #Graphura
",Business & Marketing,9,
Linkedin,6,24 January 2026,image,980,96,0,129,#DayOfTheGirlChild #Graphura #EmpowerHer #GirlsInLeadership #FutureLeaders #WomenEmpowerment #EducationForAll #SheLeads #GirlPower #graphurainternship,Business & Marketing,10,
Linkedin,5,23 January 2026,image,990,102,0,119,"#Graphura #2KFollowers #LinkedInGrowth #MilestoneMoment #CommunityDriven #ProfessionalJourney #StartupLife #Grateful #GrowingTogether
",Business & Marketing,9,
Linkedin,4,22 January 2026,image,817,91,0,148,#NetajiSubhasChandraBoseJayanti #NetajiJayanti #Graphura #Graphura #Leadership #Inspiration #NationFirst #VisionaryLeader #IndianHeroes,National & Social Impact,9,
Linkedin,3,21 January 2026,image,409,94,0,156,#Graphura #CreativeStrategy #BusinessGrowth #BrandConsultation #DesignStrategy #BrandBuilding #SmartDesign #VisualPlanning #MarketingStrategy,Business & Marketing,9,
Linkedin,2,20 January 2026,image,350,85,0,97,#Graphura #BrandingDesign #VisualIdentity #HaircareBranding #CreativeDesign #DigitalBranding #MarketingDesign #BrandStory #GraphuraOnline,Business & Marketing,9,
Linkedin,1,19 January 2026,image,271,94,0,140,#graphura #GymBranding #FitnessBusiness #GymMarketing #VisualDesign #BrandIdentity #DigitalAdvertising #digitalmarketing,Business & Marketing,8,
Linkedin,7,18 January 2026,Video,293,83,0,98,#Graphura #service #instagram #webdevelopment #graphicdesign,Business & Marketing,5,
Linkedin,6,17 January 2026,image,371,84,0,112,"#Graphura #GraphuraDesigns #CreativeDesign #SocialMediaDesign #CarouselPost #FruitJuice #BeverageBranding #DigitalCreatives #VisualDesign #MarketingCreatives #BrandingIndia #InstagramMarketing #DesignAgency #GraphicDesignIndia #CreativityAtWork
",Business & Marketing,15,
Linkedin,5,16 January 2026,image,852,94,0,139,#StartupDay #GraphuraSupportsStartups #Graphura #StartupsIndia #Founders #Entrepreneurlife #Innovation #Brandbuilding #Digitalgrowth #Buildinindia #Ideastoimpact,Business & Marketing,11,
Linkedin,4,15 January 2026,Video,323,88,0,125,#graphura #digitalmarketingagency #smmservices #seoexpert #paidads,Business & Marketing,5,
Linkedin,3,14 January 2026,image,442,20,0,0,#GraphuraIndia #MakarSankranti #HappyPongal #FestivalOfHarvest #NewBeginnings #IndianFestivals #GraphuraWishes #CulturalCelebration,Festivals & Culture,8,
Linkedin,2,13 January 2026,image,819,88,0,94,#Graphura #GraphuraDesigns #BakeryAdvertising #FoodBranding #BakeryMarketing #CreativeAgency #VisualMarketing #BrandWithGraphura #SmallBusinessBranding #FoodBusinessGrowth,Business & Marketing,10,
Linkedin,2,01 December 2026,image,931,103,0,108,#VivekanandaJayanti #SwamiVivekananda #YouthOfIndia #IndianYouth #MindsetMatters #RiseAndShine #ThinkBig #PositiveVibesOnly,Festivals & Culture,8,
Linkedin,7,01 November 2026,image,1197,92,0,103,"#StopHumanTrafficking #HumanTraffickingAwarenessDay #FreedomForAll #RaiseYourVoice #SocialImpactDesign
#Graphura #DesignForChange #CreativeForCause #DigitalWithPurpose",Business & Marketing,8,
Linkedin,4,01 October 2026,image,543,88,0,90,#WorldLaughterDay #SpreadSmiles #PositiveVibes #CreativeEnergy #Graphura #DesignWithPurpose #HappinessAtWork,Environment & Sustainability,7,
Linkedin,2,01 September 2026,image,443,92,0,164,#Graphura #SkincareBranding #ProductBranding #DesignAgency #VisualIdentity #CreativeDesign #BrandDesign #PackagingDesign #MarketingCreatives #DesignThatSells,Business & Marketing,10,
Linkedin,6,01 August 2026,image,335,89,0,148,#Graphura #DataVisualization #DataInsights #BusinessAnalytics #SmartData #DigitalSolutions #TechDesign #DataDriven #AnalyticsTools #VisualData,Business & Marketing,10,
Linkedin,3,01 July 2026,image,277,11,0,0,#Graphura #ProfessionalWebDevelopment #WebSolutions #FrontendDevelopment #BackendDevelopment #TechForBusiness #DigitalInnovation #WebsiteExperts #OnlinePresence,Business & Marketing,9,
Linkedin,1,01 June 2026,image,347,88,0,138,#DataScraping #DataAnalytics #BusinessIntelligence #Graphura #DataDriven #SmartDecisions #TechSolutions #DigitalGrowth #AnalyticsServices #BigData,Business & Marketing,10,
Linkedin,5,01 May 2026,image,458,19,0,1,"#Graphura #Graphura2026 #NewBeginnings #HackathonIndia #PlacementOpportunities
#SkillDevelopment #OnlineCourses #GamingEvent #InnovationHub #FutureReady",Environment & Sustainability,9,
Linkedin,3,01 April 2026,image,269,13,0,0,#WorldBrailleDay #InclusiveDesign #AccessibilityMatters #DesignWithPurpose #Graphura #CreativeForAll #DesignThatSpeaks,Business & Marketing,7,
Linkedin,7,01 March 2026,image,245,7,0,0,#Graphura #SalesOptimization #DigitalGrowth #CRO #MarketingStrategy #BusinessGrowth #LeadConversion #SmartMarketing,Business & Marketing,8,
Linkedin,4,01 January 2026,image,279,14,0,1,#HappyNewYear2026 #Graphura #NewBeginnings #CreativeAgency #DesignStudio #DigitalGrowth #Innovation #CreativeMinds #BusinessGoals #SuccessJourney,Business & Marketing,10,
Linkedin,4,01 January 2026,image,398,16,0,0,#Graphura #Welcoming2026 #CreativeJourney #DesignInnovation #BrandGrowth #VisualExcellence #GraphuraIndia #FutureReady,Business & Marketing,8,
Linkedin,3,31 December 2025,image,192,9,0,0,#HappyNewYear #NewYearsEve #Graphura #CreativeDesign #DesignStudio #BrandingGoals #2026Vibes #NewYearCreatives,Business & Marketing,8,
Linkedin,2,30 December 2025,image,261,90,0,106,#Graphura #GraphicDesign #CreativeAgency #BrandDesign #VisualIdentity #DesignStudio #BrandingAgency #CreativeVisuals #DesignThatWorks #SocialMediaDesign,Business & Marketing,10,
Linkedin,1,29 December 2025,image,177,8,0,0,#Graphura #LogoDesign #BrandIdentity #CreativeDesign #BrandingDesign #VisualIdentity #GraphicDesignStudio #LogoInspiration #DesignAgency #CreativeBrand,Business & Marketing,10,
Linkedin,7,28 December 2025,image,279,9,0,0,#Graphura #CreativeAgency #BrandDesign #GraphicDesign #VisualIdentity #DesignStudio #CreativeBranding #DigitalDesign #BrandBuilding #DesignThatSpeaks,Business & Marketing,10,
Linkedin,6,27 December 2025,image,187,8,0,0,#Graphura #GraphicDesign #CreativeDesign #BrandVisuals #MarketingGraphics #SocialMediaDesign #DesignThatWorks #CreativeAgency #BrandGrowth,Business & Marketing,9,
Linkedin,5,26 December 2025,image,195,3,0,0,#Graphura #CreativeDesign #DigitalBranding #VisualStorytelling #ReelDesign #ContentCreators #BrandGrowth #DesignAgency #SocialMediaCreative,Business & Marketing,9,
Linkedin,3,24 December 2025,image,240,8,0,0,#ChristmasEve #FestiveDesign #Graphura #CreativeBranding #HolidayCreativity #DesignStudio #VisualStorytelling #FestiveVibes,Business & Marketing,8,
Linkedin,2,23 December 2025,image,212,8,0,1,#NationalFarmersDay #FarmersOfIndia #RespectOurFarmers #FeedingTheNation #AgricultureIndia #RuralIndia #HarvestSeason #FarmLife #Graphura #DesignWithPurpose #CreateBold #DigitalCreativity,Business & Marketing,12,
Linkedin,1,22 December 2025,image,257,9,0,0,#Graphura #CreativeDesign #VisualStorytelling #BrandIdentity #DigitalCreativity #DesignStudio #ContentCreators,Business & Marketing,7,
Linkedin,7,21 December 2025,image,206,8,0,0,#Graphura #UIUXDesign #UserExperience #UXUI #DesignAgency #CreativeDesign #DigitalDesign #ProductDesign #WebDesign #DesignThatWorks,Business & Marketing,10,
Linkedin,6,20 December 2025,image,312,8,0,0,"#Graphura #CreativeAgency #DigitalDesign #BrandIdentity #VisualContent #MarketingAgency #GrowYourBrand #DesignStudio #DigitalGrowth 
",Business & Marketing,10,
Linkedin,5,19 December 2025,image,171,6,0,0,#Graphura #CreativeAgency #DigitalMarketing #BrandingDesign #SocialMediaContent #BusinessGrowth #CreativeStudio #OnlineBranding ,Business & Marketing,9,
Linkedin,4,18 December 2025,image,244,10,0,0,#Graphura #SocialMediaMarketing #DigitalMarketing #BrandGrowth #OnlinePresence #LeadGeneration #BusinessGrowth #CreativeMarketing,Business & Marketing,8,
Linkedin,3,17 December 2025,image,276,7,0,0,#VideoEditing #Graphura #CreativeEditing #CinematicQuality #VisualStorytelling #DigitalCreatives #BrandVideos,Business & Marketing,7,
Linkedin,2,16 December 2025,image,591,17,0,1,#Graphura #InternshipCulture #FutureProfessionals #SkillDevelopment #BrandIdentity,Business & Marketing,5,
Linkedin,1,15 December 2025,image,301,6,0,0,#EmailMarketing #Graphura #DigitalMarketing #LeadGeneration #BulkEmail #MarketingSolutions #GrowYourBusiness,Business & Marketing,7,
Linkedin,7,14 December 2025,image,243,9,0,0,#NationalEnergyConservationDay #SaveEnergy #SustainableFuture #GreenThinking #EcoAwareness #ResponsibleDesign #Graphura #DesignWithPurpose #EnergyEfficiency,Environment & Sustainability,9,
Linkedin,6,13 December 2025,image,219,8,0,0,#Graphura #WebDesignServices #WebsiteDevelopment #DigitalPresence #ResponsiveDesign #SEOFriendly #CustomWebsites #BrandGrowth #BusinessOnline #DesignThatWorks,Business & Marketing,10,
Linkedin,3,12 November 2025,Video,228,10,0,0,#Graphura #BrandGrowth #CreativeDesigns #DigitalBranding #ContentThatConnects #DesignForBusiness #VisualIdentity #BrandPresence #MarketingEssentials #GrowthMindset #DesignStudio,Business & Marketing,11,
Linkedin,7,12 October 2025,image,232,10,0,0,#Graphura #ContentWritingServices #ProfessionalWriters #SEOContent #WebContent #PressReleaseWriting #SocialMediaCopywriting #BrandContent #ContentEditing,Business & Marketing,9,
Linkedin,5,12 September 2025,image,313,13,0,0,#HumanRightsDay #StandForEquality #JusticeForAll #RightsMatter #VoiceForHumanity #Graphura #DesignForImpact #CreativeAwareness,Business & Marketing,8,
Linkedin,2,12 August 2025,Video,248,11,0,0,#GraphuraDesign #BrandExcellence #LogoDesign #VisualImpact #CreativeSolutions #ProfessionalDesign #DesignWithPurpose #BrandIdentity #GraphicDesignExperts,Business & Marketing,9,
Linkedin,6,12 July 2025,image,261,10,0,0,#ArmedForcesFlagDay #IndianArmedForces #SaluteToHeroes #ProudIndian #NationFirst #IndianArmy #IndianNavy #IndianAirForce #TributeToMartyrs #RespectOurSoldiers,National & Social Impact,10,
Linkedin,4,12 June 2025,image,255,11,0,0,#DigitalAdvertising #BrandGrowth #SocialMediaMarketing #FacebookMarketing #SEOServices #WebDesignExperts #OnlineBranding #DigitalMarketingAgency #GrowWithGraphura,Business & Marketing,9,
Linkedin,1,12 May 2025,Video,251,8,0,0,#Graphura #BrandPresence #MarketingAgency #CreativeSolutions #DigitalBranding #GrowYourBrand #BrandStrategy,Business & Marketing,7,
Linkedin,7,30 November 2025,image,390,9,0,0,#SolarMarketing #SolarEnergyIndia #RenewableEnergyBrand #SolarBusinessGrowth #DigitalMarketingForSolar #Graphura #BrandWithGraphura #SolarLeadGeneration,Environment & Sustainability,8,
Linkedin,6,29 November 2025,Video,339,7,0,0,#Graphura #CreateWithGraphura #Graphura #GraphuraOnline #BrandDesign #CreativeAgency #SocialMediaDesign #BrandingStudio #DigitalCreators #ContentDesign #GraphicDesignIndia,Business & Marketing,11,
Linkedin,5,28 November 2025,image,282,8,0,0,#Graphura #CarRentalDesign #BrandWithGraphura #CreativeDesigns #DigitalBranding #SmartBooking #RentACar #DesignThatSpeaks #MarketingContent #VisualBranding,Business & Marketing,10,
Linkedin,3,26 November 2025,Video,361,11,0,0,"#Graphura #GraphuraOnline #BrandDesign #CreativeAgency #DigitalBranding
#ContentStrategy #KeywordOptimization #SocialMediaGrowth #DesignExperts
#BrandVisibility",Business & Marketing,8,
Linkedin,2,25 November 2025,image,271,10,0,0,"#Graphura #DesignLoud #CreateBold #EditSmart
#WatchLovers #LuxuryWatch #TimepieceStyle
#WatchPhotography #ModernDesign #BrandVisuals",Business & Marketing,8,
Linkedin,1,24 November 2025,image,284,9,0,0,#Graphura #GoogleSolutions #BusinessGrowth #DigitalMarketing #LeadGeneration #SmartAds #MarketingStrategy #BrandVisibility #GrowYourBusiness,Business & Marketing,9,
Linkedin,6,22 November 2025,image,339,9,0,0,#DesignStrategy #BrandIdentity #Graphura #CreativeAgency #FurnitureDesign #VisualBranding,Business & Marketing,6,
Linkedin,5,21 November 2025,image,286,9,0,0,#Graphura #GraphuraDesigns #CreativeByGraphura #FreshlyBaked #BakedWithLove #DessertDesign #SweetCreatives #CarouselDesign #VisualDesign #DesignAgency #FoodPhotography #CreativeVisuals #DesignMagic #Foodstagram #i̇nstadesign,Business & Marketing,15,
Linkedin,4,20 November 2025,image,286,5,0,0,#RealEstateMarketing #PropertySales #MarketingStrategy #Graphura #BrandingSolutions #digitalmarketing,Business & Marketing,6,
Linkedin,3,19 November 2025,image,279,14,0,0,#ContentCreation #ScriptWriting #Graphura #DigitalCreatives #Storytelling #BrandGrowth,Business & Marketing,6,
Linkedin,2,18 November 2025,image,230,7,0,0,#Graphura #EthnicFashion #BrandIdentity #FashionMarketing #CreativeAgency #DigitalBranding #ContentStrategy #FashionBusiness #EthnicWear #BrandGrowth #DesignAgency #SocialMediaBranding,Business & Marketing,12,
Linkedin,1,17 November 2025,image,275,11,0,0,#GraphuraIndia #Jewellery #CreativeDesign #BrandingAgency #VisualExcellence #LuxuryVisuals #DesignStudio #DigitalCreatives,Business & Marketing,8,
Linkedin,7,16 November 2025,image,227,11,0,0,#ContentStrategy #DigitalMarketing #BrandGrowth #SocialMediaTips #MarketingEssentials #Graphura #contentmarketingagency,Business & Marketing,7,
Linkedin,5,14 November 2025,image,312,11,0,0,"#HappyChildrensDay #CreativeMindset #ThinkLikeAChild
#CreativityUnlocked #freshIdeas #GraphuraInternship #YouthEnergy
#ExploreWithGraphura #SkillUpWithGraphura",Environment & Sustainability,7,
Linkedin,4,11 December 2025,image,277,10,0,0,#Graphura #VideoEditing #CreativeExperts #DigitalStorytelling #ContentCreation #VideoVisionaries,Business & Marketing,6,
Linkedin,2,11 November 2025,image,239,8,0,0,#Graphura #SkinCareEssentials #GlowWithGraphura #BoldSkinCare #RadiantSkin #DesignLeadBeauty,Business & Marketing,6,
Linkedin,6,11 October 2025,image,203,11,0,0,"#Graphura #DesignYourBrand #CreativeDesigns #LogoDesign #PosterDesign #FlyerDesign #BusinessBranding

",Business & Marketing,7,
Linkedin,1,11 August 2025,image,272,14,0,0,#Graphura #DigitalMarketing #SEO #KeywordsMatter #BrandVisibility #OnlineGrowth,Business & Marketing,6,
Linkedin,5,11 July 2025,image,300,9,0,0,NA,NA ,0,
Linkedin,3,11 June 2025,image,271,14,0,0,#Graphura #WebsiteDesign #WebDevelopment #DigitalSolutions #BusinessGrowth #BrandIdentity #CreativeDesign #ProfessionalWebsites ,Business & Marketing,9,
Linkedin,7,11 May 2025,image,358,21,0,0,#HappyKartikPurnima #Graphura #DesignForGrowth #CreativeSolutions #FestivalOfLight #CreateBold #DesignLoud,Business & Marketing,7,
Linkedin,5,11 April 2025,image,368,14,0,0,#CafeMarketing #SocialMediaGrowth #BrewYourBrand #CafeBusiness #CoffeeLovers #BrandingStrategy #DigitalMarketing #CafeGoals #SocialMediaStrategy #GrowWithGraphura ,Business & Marketing,11,
